Client_ID,Asset_Type,Ticker,Quantity,Sector
C0001,ETF,NIFTYBEES.NS,18,Index
C0001,Stock,ICICIBANK.NS,26,Banking
C0001,Stock,HDFCBANK.NS,40,Banking
C0001,ETF,GOLDBEES.NS,24,Commodity
C0001,Stock,SUNPHARMA.NS,15,Pharma
C0001,Bond,NA,88182,Debt
C0001,Cash,NA,11370,Liquid
C0002,Stock,TATAMOTORS.NS,49,Auto
C0002,Stock,ICICIBANK.NS,22,Banking
C0002,Stock,HDFCBANK.NS,28,Banking
C0002,Stock,TCS.NS,6,IT
C0002,Bond,NA,34138,Debt
C0002,Cash,NA,24519,Liquid
C0003,ETF,GOLDBEES.NS,34,Commodity
C0003,Stock,SUNPHARMA.NS,50,Pharma
C0003,Stock,RELIANCE.NS,14,Energy
C0003,Bond,NA,48348,Debt
C0003,Cash,NA,38060,Liquid
C0004,ETF,NIFTYBEES.NS,17,Index
C0004,Stock,HINDUNILVR.NS,36,FMCG
C0004,Stock,TATAMOTORS.NS,20,Auto
C0004,Stock,INFY.NS,15,IT
C0004,Bond,NA,93045,Debt
C0004,Cash,NA,20375,Liquid
C0005,Stock,TATAMOTORS.NS,46,Auto
C0005,Stock,HINDUNILVR.NS,15,FMCG
C0005,ETF,NIFTYBEES.NS,9,Index
C0005,Stock,INFY.NS,41,IT
C0005,Stock,TCS.NS,33,IT
C0005,Bond,NA,67477,Debt
C0005,Cash,NA,21835,Liquid
C0006,Stock,INFY.NS,40,IT
C0006,ETF,NIFTYBEES.NS,24,Index
C0006,Stock,TCS.NS,22,IT
C0006,Stock,ICICIBANK.NS,22,Banking
C0006,Bond,NA,26266,Debt
C0006,Cash,NA,48086,Liquid
C0007,ETF,GOLDBEES.NS,32,Commodity
C0007,Stock,ICICIBANK.NS,25,Banking
C0007,ETF,NIFTYBEES.NS,46,Index
C0007,Bond,NA,56701,Debt
C0007,Cash,NA,17523,Liquid
C0008,Stock,TATAMOTORS.NS,12,Auto
C0008,Stock,ICICIBANK.NS,37,Banking
C0008,Stock,HDFCBANK.NS,39,Banking
C0008,ETF,NIFTYBEES.NS,11,Index
C0008,Bond,NA,66975,Debt
C0008,Cash,NA,13582,Liquid
C0009,Stock,RELIANCE.NS,12,Energy
C0009,Stock,SUNPHARMA.NS,24,Pharma
C0009,Stock,HDFCBANK.NS,21,Banking
C0009,Stock,INFY.NS,36,IT
C0009,Stock,TATAMOTORS.NS,45,Auto
C0009,Stock,HINDUNILVR.NS,39,FMCG
C0009,Bond,NA,84120,Debt
C0009,Cash,NA,31327,Liquid
C0010,Stock,INFY.NS,19,IT
C0010,Stock,TATAMOTORS.NS,37,Auto
C0010,Stock,ICICIBANK.NS,47,Banking
C0010,Stock,HDFCBANK.NS,24,Banking
C0010,Bond,NA,49322,Debt
C0010,Cash,NA,16776,Liquid
C0011,Stock,TATAMOTORS.NS,48,Auto
C0011,ETF,NIFTYBEES.NS,39,Index
C0011,Stock,SUNPHARMA.NS,41,Pharma
C0011,Stock,ICICIBANK.NS,31,Banking
C0011,Bond,NA,37909,Debt
C0011,Cash,NA,42421,Liquid
C0012,Stock,ICICIBANK.NS,20,Banking
C0012,Stock,SUNPHARMA.NS,44,Pharma
C0012,Stock,TATAMOTORS.NS,16,Auto
