Client_ID,Risk_Profile,Target_Equity,Target_Debt,Target_Cash
C0001,Moderate,60,30,10
C0002,Conservative,40,40,20
C0003,Moderate,60,30,10
C0004,Conservative,40,40,20
C0005,Aggressive,80,15,5
C0006,Conservative,40,40,20
C0007,Moderate,60,30,10
C0008,Aggressive,80,15,5
C0009,Conservative,40,40,20
C0010,Aggressive,80,15,5
C0011,Conservative,40,40,20
C0012,Aggressive,80,15,5
C0013,Conservative,40,40,20
C0014,Moderate,60,30,10
C0015,Aggressive,80,15,5
C0016,Aggressive,80,15,5
C0017,Moderate,60,30,10
C0018,Conservative,40,40,20
C0019,Aggressive,80,15,5
C0020,Moderate,60,30,10
C0021,Moderate,60,30,10
C0022,Aggressive,80,15,5
C0023,Conservative,40,40,20
C0024,Conservative,40,40,20
C0025,Conservative,40,40,20
C0026,Conservative,40,40,20
C0027,Conservative,40,40,20
C0028,Moderate,60,30,10
C0029,Moderate,60,30,10
C0030,Moderate,60,30,10
C0031,Conservative,40,40,20
C0032,Conservative,40,40,20
C0033,Moderate,60,30,10
C0034,Conservative,40,40,20
C0035,Aggressive,80,15,5
C0036,Aggressive,80,15,5
C0037,Conservative,40,40,20
C0038,Moderate,60,30,10
C0039,Moderate,60,30,10
C0040,Moderate,60,30,10
C0041,Aggressive,80,15,5
C0042,Moderate,60,30,10
C0043,Aggressive,80,15,5
C0044,Moderate,60,30,10
C0045,Conservative,40,40,20
C0046,Moderate,60,30,10
C0047,Conservative,40,40,20
C0048,Aggressive,80,15,5
C0049,Moderate,60,30,10
C0050,Aggressive,80,15,5
C0051,Moderate,60,30,10
C0052,Aggressive,80,15,5
C0053,Aggressive,80,15,5
C0054,Conservative,40,40,20
C0055,Aggressive,80,15,5
C0056,Moderate,60,30,10
C0057,Conservative,40,40,20
C0058,Moderate,60,30,10
C0059,Aggressive,80,15,5
C0060,Moderate,60,30,10
C0061,Conservative,40,40,20
C0062,Conservative,40,40,20
C0063,Conservative,40,40,20
C0064,Conservative,40,40,20
C0065,Conservative,40,40,20
C0066,Aggressive,80,15,5
C0067,Conservative,40,40,20
C0068,Conservative,40,40,20
C0069,Conservative,40,40,20
C0070,Moderate,60,30,10
C0071,Conservative,40,40,20
C0072,Moderate,60,30,10
C0073,Moderate,60,30,10
C0074,Aggressive,80,15,5
C0075,Aggressive,80,15,5
